Order_Line;Order_ID;Order_Date;Ship_Date;Ship_Mode;Customer_ID;Product_ID;Sales;Quantity;Discount;Profit;s_prod_id;s_cust_id
56,00;CA-2014-167927;08/07/2016 00:00;14/07/2016 00:00;Standard Class;XP-21865;OFF-ST-10003123;66,58;2,00;,00;15,98;1 385,00;789,00
58,00;CA-2014-167927;08/07/2016 00:00;14/07/2016 00:00;Standard Class;XP-21865;FUR-FU-10002268;14,73;3,00;,00;4,86;219,00;789,00
60,00;US-2014-147774;08/07/2016 00:00;14/07/2016 00:00;Standard Class;MM-18280;OFF-BI-10003091;67,19;1,00;70,00;-51,52;763,00;528,00
62,00;CA-2014-102645;11/07/2016 00:00;16/07/2016 00:00;Standard Class;IM-15055;OFF-PA-10001804;40,08;6,00;,00;19,24;1 130,00;338,00
64,00;US-2014-155502;14/07/2016 00:00;19/07/2016 00:00;Standard Class;SD-20485;FUR-FU-10004587;62,82;3,00;,00;30,78;302,00;683,00
66,00;US-2014-155502;14/07/2016 00:00;19/07/2016 00:00;Standard Class;SD-20485;OFF-PA-10003072;19,44;3,00;,00;9,33;1 203,00;683,00
68,00;US-2014-155502;14/07/2016 00:00;19/07/2016 00:00;Standard Class;SD-20485;TEC-PH-10004833;155,35;13,00;,00;,00;1 853,00;683,00
70,00;US-2014-155502;14/07/2016 00:00;19/07/2016 00:00;Standard Class;SD-20485;TEC-PH-10002103;187,98;2,00;,00;52,63;1 755,00;683,00
72,00;CA-2014-167997;14/07/2016 00:00;17/07/2016 00:00;First Class;CA-11965;FUR-BO-10004409;141,96;2,00;,00;39,75;44,00;121,00
74,00;US-2014-117163;15/07/2016 00:00;21/07/2016 00:00;Standard Class;EJ-13720;FUR-TA-10003469;333,00;3,00;20,00;-16,65;355,00;264,00
76,00;CA-2014-100328;16/07/2016 00:00;22/07/2016 00:00;Standard Class;JC-15340;OFF-BI-10000343;3,93;1,00;20,00;1,33;654,00;345,00
78,00;CA-2014-134103;18/07/2016 00:00;23/07/2016 00:00;Standard Class;MV-18190;OFF-ST-10000991;229,94;2,00;,00;6,90;1 326,00;546,00
80,00;CA-2014-140795;20/07/2016 00:00;22/07/2016 00:00;First Class;BD-11500;TEC-AC-10001432;468,90;6,00;,00;206,32;1 496,00;69,00
82,00;CA-2014-123400;21/07/2016 00:00;28/07/2016 00:00;Standard Class;EB-13930;OFF-BI-10000666;18,34;2,00;70,00;-12,22;663,00;251,00
84,00;CA-2014-111059;22/07/2016 00:00;25/07/2016 00:00;Second Class;TB-21400;OFF-BI-10004593;83,84;2,00;20,00;27,25;830,00;738,00
86,00;CA-2014-107181;23/07/2016 00:00;27/07/2016 00:00;Standard Class;DB-13270;OFF-BI-10004230;82,90;3,00;20,00;29,01;814,00;194,00
88,00;CA-2014-104808;23/07/2016 00:00;27/07/2016 00:00;Second Class;MH-17440;OFF-BI-10003676;17,25;2,00;20,00;6,04;784,00;511,00
90,00;CA-2014-131905;25/07/2016 00:00;28/07/2016 00:00;First Class;ND-18460;TEC-PH-10003645;161,61;1,00;,00;42,02;1 817,00;560,00
92,00;CA-2014-108182;25/07/2016 00:00;29/07/2016 00:00;Second Class;DL-13315;OFF-BI-10001196;8,95;2,00;80,00;-14,77;687,00;220,00
94,00;US-2014-169390;26/07/2016 00:00;29/07/2016 00:00;Second Class;CS-12250;OFF-ST-10001558;64,96;4,00;,00;9,74;1 349,00;177,00
96,00;CA-2014-127614;30/07/2016 00:00;03/08/2016 00:00;Standard Class;NF-18385;TEC-AC-10001432;234,45;3,00;,00;103,16;1 496,00;561,00
98,00;CA-2014-127614;30/07/2016 00:00;03/08/2016 00:00;Standard Class;NF-18385;OFF-BI-10003291;17,46;2,00;,00;8,21;768,00;561,00
100,00;CA-2014-168368;30/07/2016 00:00;03/08/2016 00:00;Second Class;GA-14725;OFF-LA-10004853;14,94;3,00;,00;6,87;1 013,00;294,00
102,00;CA-2014-168368;30/07/2016 00:00;03/08/2016 00:00;Second Class;GA-14725;FUR-FU-10002298;332,94;3,00;,00;53,27;220,00;294,00
104,00;CA-2014-168368;30/07/2016 00:00;03/08/2016 00:00;Second Class;GA-14725;OFF-ST-10002583;64,96;2,00;,00;2,60;1 377,00;294,00
106,00;CA-2014-107706;02/08/2016 00:00;07/08/2016 00:00;Second Class;ST-20530;OFF-PA-10000466;16,18;3,00;20,00;6,07;1 048,00;719,00
108,00;CA-2014-121762;02/08/2016 00:00;06/08/2016 00:00;Standard Class;ML-17395;OFF-AP-10001293;81,96;2,00;,00;22,95;403,00;520,00
110,00;CA-2014-165568;03/08/2016 00:00;07/08/2016 00:00;Standard Class;BF-11020;OFF-BI-10001031;21,36;5,00;20,00;7,21;674,00;81,00
112,00;CA-2014-122567;04/08/2016 00:00;09/08/2016 00:00;Standard Class;MN-17935;OFF-AP-10001303;7,96;2,00;80,00;-13,93;404,00;529,00
114,00;US-2014-165589;06/08/2016 00:00;06/08/2016 00:00;Same Day;TB-21595;FUR-FU-10002396;25,16;5,00;60,00;-11,32;223,00;740,00
116,00;CA-2014-109491;08/08/2016 00:00;14/08/2016 00:00;Standard Class;LC-16930;TEC-AC-10001284;62,31;3,00;,00;22,43;1 493,00;453,00
118,00;CA-2014-164903;08/08/2016 00:00;12/08/2016 00:00;Standard Class;SR-20740;OFF-PA-10003363;12,96;2,00;,00;6,22;1 216,00;713,00
120,00;CA-2014-133354;10/08/2016 00:00;12/08/2016 00:00;First Class;SA-20830;OFF-PA-10001800;19,44;3,00;,00;9,33;1 128,00;664,00
122,00;CA-2014-103744;11/08/2016 00:00;15/08/2016 00:00;Standard Class;MG-17875;OFF-BI-10000320;4,43;3,00;80,00;-6,86;653,00;506,00
124,00;US-2014-137680;12/08/2016 00:00;18/08/2016 00:00;Standard Class;JH-15430;OFF-PA-10000069;22,78;3,00;20,00;7,69;1 020,00;369,00
126,00;CA-2014-104269;17/08/2016 00:00;22/08/2016 00:00;Second Class;DB-13060;FUR-CH-10004063;457,57;2,00;20,00;51,48;119,00;191,00
128,00;CA-2014-113880;17/08/2016 00:00;21/08/2016 00:00;Standard Class;VF-21715;FUR-CH-10000863;634,12;6,00;30,00;-172,12;64,00;778,00
130,00;CA-2014-131009;17/08/2016 00:00;21/08/2016 00:00;Standard Class;SC-20380;OFF-FA-10004395;18,84;5,00;20,00;-3,53;940,00;674,00
132,00;CA-2014-131009;17/08/2016 00:00;21/08/2016 00:00;Standard Class;SC-20380;FUR-FU-10001095;63,55;6,00;60,00;-34,95;176,00;674,00
134,00;CA-2014-168312;17/08/2016 00:00;23/08/2016 00:00;Standard Class;GW-14605;OFF-ST-10003692;137,35;3,00;20,00;8,58;1 400,00;314,00
136,00;CA-2014-107524;18/08/2016 00:00;24/08/2016 00:00;Standard Class;KN-16705;OFF-EN-10001990;11,36;2,00;,00;5,34;866,00;442,00
138,00;CA-2014-111157;18/08/2016 00:00;22/08/2016 00:00;Standard Class;NH-18610;OFF-PA-10000327;3,42;1,00;20,00;1,07;1 042,00;566,00
140,00;CA-2014-155852;19/08/2016 00:00;23/08/2016 00:00;Second Class;AJ-10945;OFF-AR-10003560;19,46;4,00;20,00;3,40;587,00;39,00
142,00;CA-2014-127964;19/08/2016 00:00;24/08/2016 00:00;Standard Class;AP-10720;OFF-BI-10004593;125,76;3,00;20,00;40,87;830,00;44,00
144,00;US-2014-127978;19/08/2016 00:00;24/08/2016 00:00;Standard Class;JS-15595;OFF-LA-10000305;15,12;3,00;20,00;4,91;950,00;406,00
146,00;US-2014-127978;19/08/2016 00:00;24/08/2016 00:00;Standard Class;JS-15595;OFF-ST-10002486;44,67;8,00;20,00;-10,05;1 373,00;406,00
148,00;CA-2014-105648;19/08/2016 00:00;23/08/2016 00:00;Standard Class;EJ-14155;FUR-TA-10002958;626,35;3,00;20,00;-23,49;351,00;265,00
150,00;CA-2014-117016;20/08/2016 00:00;25/08/2016 00:00;Standard Class;SC-20095;OFF-AR-10001374;15,55;3,00;20,00;2,33;516,00;670,00
152,00;CA-2014-169061;21/08/2016 00:00;24/08/2016 00:00;Second Class;AB-10150;TEC-AC-10002001;479,97;3,00;,00;177,59;1 515,00;8,00
154,00;CA-2014-169061;21/08/2016 00:00;24/08/2016 00:00;Second Class;AB-10150;OFF-BI-10001617;49,63;6,00;20,00;16,75;701,00;8,00
156,00;CA-2014-156587;23/08/2016 00:00;24/08/2016 00:00;First Class;AB-10015;FUR-CH-10004477;48,71;1,00;20,00;5,48;124,00;5,00
158,00;CA-2014-156587;23/08/2016 00:00;24/08/2016 00:00;First Class;AB-10015;OFF-ST-10002344;242,94;3,00;,00;4,86;1 367,00;5,00
160,00;CA-2014-104563;23/08/2016 00:00;28/08/2016 00:00;Standard Class;CM-12715;OFF-AR-10000390;20,65;5,00;,00;9,50;483,00;164,00
162,00;CA-2014-104563;23/08/2016 00:00;28/08/2016 00:00;Standard Class;CM-12715;FUR-CH-10002780;436,70;6,00;20,00;21,84;97,00;164,00
164,00;US-2014-100279;26/08/2016 00:00;30/08/2016 00:00;Standard Class;SW-20275;OFF-PA-10002259;22,38;2,00;,00;10,74;1 164,00;726,00
166,00;US-2014-140116;26/08/2016 00:00;02/09/2016 00:00;Standard Class;KT-16480;OFF-AR-10001044;83,17;4,00;20,00;9,36;504,00;445,00
168,00;CA-2014-166884;27/08/2016 00:00;01/09/2016 00:00;Second Class;CK-12205;OFF-FA-10001561;10,46;6,00;20,00;1,70;918,00;148,00
170,00;CA-2014-114790;27/08/2016 00:00;29/08/2016 00:00;Second Class;FM-14215;OFF-AP-10002578;146,76;3,00;,00;38,16;431,00;287,00
172,00;CA-2014-114790;27/08/2016 00:00;29/08/2016 00:00;Second Class;FM-14215;TEC-PH-10000984;587,97;3,00;,00;164,63;1 710,00;287,00
174,00;US-2014-103338;27/08/2016 00:00;31/08/2016 00:00;Standard Class;RB-19435;OFF-AR-10001770;7,98;3,00;,00;2,07;530,00;623,00
176,00;CA-2014-157623;30/08/2016 00:00;03/09/2016 00:00;Standard Class;DK-13225;OFF-AR-10003723;3,38;1,00;,00;1,25;593,00;216,00
178,00;CA-2014-114510;30/08/2016 00:00;04/09/2016 00:00;Standard Class;JF-15295;OFF-BI-10001617;33,09;4,00;20,00;11,17;701,00;360,00
180,00;CA-2014-114510;30/08/2016 00:00;04/09/2016 00:00;Standard Class;JF-15295;TEC-AC-10004877;82,80;12,00;,00;6,62;1 599,00;360,00
182,00;CA-2014-114510;30/08/2016 00:00;04/09/2016 00:00;Standard Class;JF-15295;OFF-BI-10003007;62,05;2,00;20,00;20,17;762,00;360,00
184,00;CA-2014-152618;30/08/2016 00:00;02/09/2016 00:00;First Class;RB-19465;OFF-PA-10001215;8,45;2,00;20,00;2,64;1 090,00;624,00
186,00;CA-2014-149958;31/08/2016 00:00;04/09/2016 00:00;Standard Class;AS-10240;OFF-ST-10001490;142,78;1,00;20,00;17,85;1 343,00;56,00
188,00;CA-2014-149958;31/08/2016 00:00;04/09/2016 00:00;Standard Class;AS-10240;OFF-BI-10000773;7,22;3,00;70,00;-5,53;665,00;56,00
190,00;CA-2014-149958;31/08/2016 00:00;04/09/2016 00:00;Standard Class;AS-10240;OFF-PA-10002120;131,90;3,00;20,00;47,82;1 154,00;56,00
192,00;CA-2014-118339;02/09/2016 00:00;09/09/2016 00:00;Standard Class;BN-11515;OFF-AP-10001154;93,78;2,00;,00;36,57;399,00;96,00
194,00;CA-2014-118339;02/09/2016 00:00;09/09/2016 00:00;Standard Class;BN-11515;OFF-AR-10003829;19,68;6,00;,00;5,71;601,00;96,00
196,00;CA-2014-118339;02/09/2016 00:00;09/09/2016 00:00;Standard Class;BN-11515;OFF-BI-10000136;35,88;6,00;,00;17,22;642,00;96,00
198,00;US-2014-148838;02/09/2016 00:00;06/09/2016 00:00;Standard Class;CP-12340;FUR-TA-10001950;1 071,58;4,00;40,00;-553,65;339,00;167,00
200,00;US-2014-148838;02/09/2016 00:00;06/09/2016 00:00;Standard Class;CP-12340;OFF-PA-10002960;34,86;7,00;,00;16,38;1 194,00;167,00
202,00;CA-2014-158442;02/09/2016 00:00;02/09/2016 00:00;Same Day;AZ-10750;OFF-AR-10003732;4,45;2,00;20,00;,33;595,00;64,00
204,00;CA-2014-158442;02/09/2016 00:00;02/09/2016 00:00;Same Day;AZ-10750;OFF-PA-10002365;15,55;3,00;20,00;5,44;1 168,00;64,00
206,00;US-2014-164763;02/09/2016 00:00;06/09/2016 00:00;Standard Class;MH-17440;OFF-BI-10000309;30,44;2,00;,00;14,92;651,00;511,00
208,00;US-2014-164763;02/09/2016 00:00;06/09/2016 00:00;Standard Class;MH-17440;OFF-PA-10003063;16,00;4,00;,00;7,68;1 202,00;511,00
210,00;CA-2014-127859;02/09/2016 00:00;05/09/2016 00:00;Second Class;QJ-19255;OFF-PA-10003641;126,62;6,00;20,00;41,15;1 224,00;616,00
212,00;CA-2014-145317;03/09/2016 00:00;08/09/2016 00:00;Standard Class;SM-20320;TEC-MA-10002412;22 638,48;6,00;50,00;-1 811,08;1 643,00;701,00
214,00;CA-2014-145317;03/09/2016 00:00;08/09/2016 00:00;Standard Class;SM-20320;OFF-AR-10003183;8,02;3,00;20,00;1,00;573,00;701,00
216,00;CA-2014-145317;03/09/2016 00:00;08/09/2016 00:00;Standard Class;SM-20320;OFF-FA-10003112;18,94;3,00;20,00;5,92;933,00;701,00
218,00;CA-2014-111871;03/09/2016 00:00;06/09/2016 00:00;Second Class;EK-13795;FUR-BO-10004218;1 198,33;10,00;15,00;70,49;41,00;266,00
220,00;US-2014-131275;03/09/2016 00:00;09/09/2016 00:00;Standard Class;SC-20050;TEC-MA-10001148;1 279,97;4,00;20,00;415,99;1 633,00;669,00
222,00;CA-2014-103989;04/09/2016 00:00;06/09/2016 00:00;First Class;MC-17605;TEC-PH-10004667;323,98;3,00;20,00;28,35;1 849,00;491,00
224,00;CA-2014-103989;04/09/2016 00:00;06/09/2016 00:00;First Class;MC-17605;OFF-ST-10000918;26,16;3,00;20,00;1,96;1 323,00;491,00
226,00;CA-2014-103989;04/09/2016 00:00;06/09/2016 00:00;First Class;MC-17605;FUR-FU-10003981;4,99;3,00;20,00;1,37;283,00;491,00
228,00;CA-2014-103989;04/09/2016 00:00;06/09/2016 00:00;First Class;MC-17605;TEC-AC-10002647;170,24;2,00;20,00;53,20;1 539,00;491,00
230,00;CA-2014-140004;06/09/2016 00:00;10/09/2016 00:00;Standard Class;CB-12025;OFF-AR-10004027;6,05;3,00;20,00;1,59;610,00;126,00
232,00;CA-2014-163223;06/09/2016 00:00;10/09/2016 00:00;Standard Class;KH-16690;TEC-PH-10000730;3 499,93;7,00;,00;909,98;1 706,00;433,00
234,00;CA-2014-163223;06/09/2016 00:00;10/09/2016 00:00;Standard Class;KH-16690;OFF-PA-10000675;122,97;3,00;,00;60,26;1 067,00;433,00
236,00;CA-2014-163223;06/09/2016 00:00;10/09/2016 00:00;Standard Class;KH-16690;OFF-BI-10001597;122,94;3,00;,00;59,01;700,00;433,00
238,00;US-2014-155544;06/09/2016 00:00;10/09/2016 00:00;Standard Class;GM-14440;FUR-FU-10001473;32,95;3,00;20,00;6,59;184,00;304,00
240,00;US-2014-158057;07/09/2016 00:00;11/09/2016 00:00;Standard Class;CC-12685;OFF-BI-10004410;7,64;4,00;70,00;-5,86;823,00;138,00
242,00;CA-2014-148040;07/09/2016 00:00;11/09/2016 00:00;Standard Class;BF-11275;OFF-PA-10002581;74,35;3,00;20,00;23,24;1 176,00;85,00
244,00;US-2014-129609;07/09/2016 00:00;07/09/2016 00:00;Same Day;VM-21835;OFF-AR-10003478;16,28;2,00;,00;6,51;583,00;782,00
246,00;CA-2014-120838;08/09/2016 00:00;11/09/2016 00:00;Second Class;PO-18865;TEC-PH-10003484;604,75;6,00;20,00;37,80;1 810,00;604,00
248,00;CA-2014-147235;09/09/2016 00:00;13/09/2016 00:00;Standard Class;CD-11920;OFF-PA-10004948;24,90;5,00;,00;11,70;1 285,00;139,00
250,00;CA-2014-148586;10/09/2016 00:00;17/09/2016 00:00;Standard Class;AZ-10750;FUR-CH-10002439;366,79;7,00;10,00;65,21;92,00;64,00
252,00;CA-2014-128237;10/09/2016 00:00;15/09/2016 00:00;Standard Class;CA-12265;OFF-AR-10003338;14,88;2,00;,00;3,72;577,00;123,00
254,00;CA-2014-128237;10/09/2016 00:00;15/09/2016 00:00;Standard Class;CA-12265;OFF-AR-10000034;25,44;6,00;,00;9,92;474,00;123,00
256,00;CA-2014-141838;11/09/2016 00:00;16/09/2016 00:00;Second Class;DK-12835;OFF-AR-10004272;3,36;2,00;,00;,84;617,00;211,00
258,00;CA-2014-141838;11/09/2016 00:00;16/09/2016 00:00;Second Class;DK-12835;TEC-PH-10004100;28,78;2,00;20,00;2,88;1 833,00;211,00
260,00;US-2014-137869;13/09/2016 00:00;18/09/2016 00:00;Standard Class;CV-12295;OFF-EN-10001509;6,12;3,00;,00;2,88;861,00;184,00
262,00;CA-2014-100881;13/09/2016 00:00;17/09/2016 00:00;Standard Class;DR-12940;TEC-PH-10003273;302,38;3,00;20,00;22,68;1 805,00;237,00
264,00;CA-2014-137274;14/09/2016 00:00;18/09/2016 00:00;Standard Class;MG-18145;FUR-TA-10001889;890,84;3,00;30,00;-152,72;337,00;508,00
266,00;CA-2014-133424;15/09/2016 00:00;20/09/2016 00:00;Standard Class;Dl-13600;OFF-ST-10002957;15,84;3,00;,00;,00;1 382,00;223,00
268,00;US-2014-105151;15/09/2016 00:00;16/09/2016 00:00;First Class;SG-20890;OFF-AR-10001231;10,50;5,00;,00;2,94;513,00;691,00
270,00;CA-2014-162089;15/09/2016 00:00;17/09/2016 00:00;First Class;MP-17470;OFF-EN-10002230;335,72;5,00;20,00;113,31;867,00;533,00
272,00;CA-2014-162089;15/09/2016 00:00;17/09/2016 00:00;First Class;MP-17470;FUR-CH-10002304;127,30;7,00;30,00;-9,09;86,00;533,00
274,00;CA-2014-128055;16/09/2016 00:00;21/09/2016 00:00;Standard Class;AA-10315;OFF-BI-10004390;673,57;2,00;20,00;252,59;822,00;1,00
276,00;CA-2014-112403;16/09/2016 00:00;16/09/2016 00:00;Same Day;JO-15280;OFF-BI-10003529;,85;1,00;70,00;-,60;778,00;398,00
278,00;US-2014-104759;16/09/2016 00:00;20/09/2016 00:00;Standard Class;DD-13570;TEC-AC-10004901;79,98;2,00;20,00;14,00;1 600,00;202,00
280,00;CA-2014-130428;16/09/2016 00:00;16/09/2016 00:00;Same Day;TG-21640;FUR-CH-10002965;1 125,49;7,00;20,00;98,48;100,00;749,00
282,00;CA-2014-130428;16/09/2016 00:00;16/09/2016 00:00;Same Day;TG-21640;OFF-AR-10004027;4,03;2,00;20,00;1,06;610,00;749,00
284,00;US-2014-157021;17/09/2016 00:00;22/09/2016 00:00;Second Class;KM-16720;OFF-BI-10000042;17,09;4,00;20,00;5,55;638,00;439,00
286,00;CA-2014-138359;17/09/2016 00:00;22/09/2016 00:00;Standard Class;KH-16330;OFF-BI-10000145;6,24;2,00;,00;3,06;644,00;429,00
288,00;CA-2014-164315;18/09/2016 00:00;24/09/2016 00:00;Standard Class;RD-19585;TEC-PH-10001128;1 049,93;7,00;,00;293,98;1 714,00;632,00
290,00;US-2014-157847;18/09/2016 00:00;22/09/2016 00:00;Second Class;SC-20020;OFF-PA-10002986;26,72;5,00;20,00;9,35;1 196,00;668,00
292,00;CA-2014-160276;18/09/2016 00:00;24/09/2016 00:00;Standard Class;AH-10690;FUR-FU-10003192;177,68;2,00;,00;46,20;250,00;35,00
294,00;CA-2014-112291;19/09/2016 00:00;24/09/2016 00:00;Standard Class;KE-16420;TEC-AC-10001284;62,31;3,00;,00;22,43;1 493,00;427,00
296,00;CA-2014-105172;20/09/2016 00:00;25/09/2016 00:00;Standard Class;PK-18910;OFF-LA-10001641;18,90;6,00;,00;9,07;968,00;597,00
298,00;CA-2014-133228;20/09/2016 00:00;25/09/2016 00:00;Standard Class;MS-17710;OFF-AR-10001955;79,36;4,00;,00;23,81;539,00;539,00
300,00;CA-2014-149538;20/09/2016 00:00;24/09/2016 00:00;Standard Class;KB-16585;OFF-ST-10004180;232,55;5,00;,00;9,30;1 408,00;418,00
302,00;CA-2014-149538;20/09/2016 00:00;24/09/2016 00:00;Standard Class;KB-16585;OFF-PA-10003797;19,44;3,00;,00;9,33;1 233,00;418,00
304,00;CA-2014-113887;21/09/2016 00:00;23/09/2016 00:00;First Class;TH-21550;OFF-PA-10004071;55,48;1,00;,00;26,63;1 249,00;753,00
306,00;CA-2014-102988;21/09/2016 00:00;25/09/2016 00:00;Second Class;GM-14695;TEC-PH-10001615;28,99;1,00;,00;8,41;1 735,00;308,00
308,00;CA-2014-102988;21/09/2016 00:00;25/09/2016 00:00;Second Class;GM-14695;OFF-AR-10000127;22,96;7,00;,00;6,66;476,00;308,00
310,00;CA-2014-151001;21/09/2016 00:00;23/09/2016 00:00;First Class;JG-15805;OFF-ST-10003455;49,63;4,00;20,00;3,72;1 393,00;368,00
312,00;CA-2014-149104;21/09/2016 00:00;23/09/2016 00:00;Second Class;RD-19900;OFF-AR-10002952;26,70;2,00;,00;7,48;564,00;636,00
314,00;CA-2014-149104;21/09/2016 00:00;23/09/2016 00:00;Second Class;RD-19900;OFF-AR-10004685;13,89;3,00;,00;4,58;626,00;636,00
316,00;US-2014-157231;21/09/2016 00:00;25/09/2016 00:00;Standard Class;RP-19855;OFF-BI-10002852;115,36;7,00;,00;56,53;753,00;655,00
318,00;US-2014-118486;22/09/2016 00:00;24/09/2016 00:00;First Class;SD-20485;OFF-SU-10004498;10,30;1,00;20,00;-2,19;1 452,00;683,00
320,00;US-2014-118486;22/09/2016 00:00;24/09/2016 00:00;First Class;SD-20485;TEC-AC-10004659;116,78;2,00;20,00;21,90;1 590,00;683,00
322,00;CA-2014-169803;22/09/2016 00:00;28/09/2016 00:00;Standard Class;SC-20260;TEC-AC-10003441;33,90;2,00;,00;2,03;1 561,00;672,00
324,00;CA-2014-102652;22/09/2016 00:00;28/09/2016 00:00;Standard Class;AY-10555;FUR-FU-10001918;33,11;7,00;,00;12,91;202,00;63,00
326,00;CA-2014-102652;22/09/2016 00:00;28/09/2016 00:00;Standard Class;AY-10555;OFF-PA-10001977;55,48;1,00;,00;26,63;1 147,00;63,00
328,00;CA-2014-153808;22/09/2016 00:00;26/09/2016 00:00;Second Class;FH-14275;OFF-BI-10002794;65,57;2,00;20,00;23,77;748,00;284,00
330,00;CA-2014-124023;23/09/2016 00:00;26/09/2016 00:00;First Class;PJ-19015;FUR-FU-10004415;8,96;2,00;,00;2,78;299,00;596,00
332,00;CA-2014-128846;23/09/2016 00:00;28/09/2016 00:00;Standard Class;RS-19765;OFF-PA-10000100;122,97;3,00;,00;60,26;1 021,00;659,00
334,00;CA-2014-165806;23/09/2016 00:00;23/09/2016 00:00;Same Day;VM-21685;TEC-PH-10004922;200,97;3,00;,00;50,24;1 859,00;781,00
336,00;CA-2014-100363;24/09/2016 00:00;01/10/2016 00:00;Standard Class;JM-15655;OFF-PA-10004733;19,01;3,00;20,00;6,89;1 278,00;394,00
